ID,Name,Country,Latitude,Longitude,cyan,magenta,yellow,black,earthResonance,activeLayer,layerFrequency,layerDepth,tectonicZone,tectonicAmplification,isDeepSubduction,pWaveVelocity,red,green,blue,spaceResonance,angleOfIncidence,ionosphericHeight,solarDeclination,solarElevation,hourAngle,lagTimeHours,solarFluxFactor,solarCyclePhase,compositeResonance,earthSpaceCoupling,timestamp,nearbyEarthquakes
67,Klaip?da Castle,Lithuania,55.7,21.1333,0.6953,0.4912,0.7499,0.4073,0.4462,upper_crust,20.8,10,,1.0,False,6.3857,0.3566,0.5191,0.2946,0.1813,90.0,84.0922,-10.511,-26.5802,122.3833,22.4756,0.1845,0.5665,0.3137,0.0809,2026-02-23T18:45:45.940444,0
68,Trakai Island Castle,Lithuania,54.65,24.9333,0.6953,0.4912,0.7547,0.4073,0.4469,upper_crust,20.8,10,,1.0,False,6.3857,0.3526,0.5075,0.2962,0.1785,90.0,84.1623,-10.511,-28.9882,126.1833,22.4289,0.1845,0.5665,0.3127,0.0798,2026-02-23T18:45:45.940444,0
69,Kaunas Castle and Fortress,Lithuania,54.9,23.9,0.6953,0.4912,0.7537,0.4073,0.4468,upper_crust,20.8,10,,1.0,False,6.3857,0.3537,0.5103,0.2959,0.1792,90.0,84.1446,-10.511,-28.3422,125.15,22.44,0.1845,0.5665,0.313,0.0801,2026-02-23T18:45:45.940444,0
70,Petersberg Citadel,Germany,50.9833,11.0333,0.6953,0.4935,0.772,0.4073,0.4498,upper_crust,20.8,10,,1.0,False,6.3857,0.364,0.4643,0.3008,0.1752,90.0,84.17,-10.511,-22.1137,112.2833,22.2659,0.1845,0.5665,0.3125,0.0788,2026-02-23T18:45:45.940444,0
71,Mainz Citadel,Germany,50.0,8.2667,0.6953,0.6102,0.7752,0.5556,0.4776,upper_crust,20.8,10,MEDITERRANEAN_ALPINE,1.5,False,6.3857,0.3667,0.4527,0.3015,0.1743,90.0,84.179,-10.511,-20.5415,109.5167,22.2222,0.1845,0.5665,0.326,0.0832,2026-02-23T18:45:45.940444,0
72,(City fortifications),Germany,53.55,10.0,0.6953,0.496,0.7583,0.4073,0.4483,upper_crust,20.8,10,,1.0,False,6.3857,0.3659,0.4947,0.2963,0.18,90.0,84.0725,-10.511,-21.0054,111.25,22.38,0.1845,0.5665,0.3141,0.0807,2026-02-23T18:45:45.940444,0
73,Forbidden City,China,39.9167,116.3972,0.6953,0.6262,0.8602,0.6806,0.4973,upper_crust,20.8,10,RING_OF_FIRE,1.8,False,6.3857,0.3249,0.3767,0.337,0.1536,90.0,85.0,-10.511,-45.5735,217.6472,21.7741,0.1845,0.5665,0.3255,0.0764,2026-02-23T18:45:45.940444,0
74,Fort Orange,Brazil,-7.75,-34.8333,0.6953,0.6222,0.9107,0.4723,0.4973,upper_crust,20.8,10,MID_ATLANTIC_RIDGE,1.3,False,6.3857,0.4417,0.0327,0.3413,0.1953,65.9828,84.6778,-10.511,24.48,66.4167,17.1421,0.1845,0.5665,0.3463,0.0971,2026-02-23T18:45:45.940444,0
75,Forte de São João Batista do Brum,Brazil,-8.05,-34.8833,0.6953,0.6219,0.9105,0.4723,0.4972,upper_crust,20.8,10,MID_ATLANTIC_RIDGE,1.3,False,6.3857,0.4419,0.0347,0.3413,0.1955,65.9089,84.6756,-10.511,24.5708,66.3667,17.1456,0.1845,0.5665,0.3463,0.0972,2026-02-23T18:45:45.940444,0
76,Forte do Presépio,Brazil,-1.45,-48.5,0.6953,0.5492,0.9613,0.4073,0.4892,upper_crust,20.8,10,,1.0,False,6.3857,0.4623,0.003,0.3625,0.2187,53.2831,84.5885,-10.511,36.8386,52.75,15.1689,0.1845,0.5665,0.3539,0.107,2026-02-23T18:45:45.940444,0
77,Forte Príncipe da Beira,Brazil,-12.4167,-64.4167,0.6953,0.5572,0.952,0.4073,0.4892,upper_crust,20.8,10,,1.0,False,6.3857,0.4907,0.0545,0.359,0.2475,36.8703,84.4085,-10.511,53.8787,36.8333,13.4679,0.1845,0.5665,0.3684,0.1211,2026-02-23T18:45:45.940444,0
78,Fortaleza de Nossa Senhora da Assunção,Brazil,-3.7167,-38.5,0.6953,0.6311,0.9269,0.4723,0.5016,upper_crust,20.8,10,MID_ATLANTIC_RIDGE,1.3,False,6.3857,0.4467,0.0111,0.3479,0.2011,62.7839,84.6651,-10.511,27.4561,62.75,16.5364,0.1845,0.5665,0.3514,0.1009,2026-02-23T18:45:45.940444,0
