ID,Name,Country,Latitude,Longitude,Region,red,green,blue,spaceResonance,angleOfIncidence,ionosphericHeight,solarDeclination,solarElevation,hourAngle,lagTimeHours,solarFluxFactor,solarCyclePhase
129,Fort Plaisance,Canada,47.25,-53.9667,Americas,0.4319,0.4456,0.3042,0.2144,74.1606,83.7433,-10.511,18.5901,47.2833,19.9881,0.1845,0.5665
130,Fort William,Canada,47.5667,-52.7,Americas,0.4304,0.4486,0.3035,0.2132,75.0394,83.743,-10.511,17.7289,48.55,20.1193,0.1845,0.5665
131,Castillo San Salvador de la Punta,Cuba,23.1333,-82.35,Americas,0.4869,0.1619,0.3293,0.2465,39.7663,84.1406,-10.511,51.6048,18.9,14.3303,0.1845,0.5665
132,Castillo de los Tres Reyes Magos del Morro,Cuba,23.15,-82.35,Americas,0.4869,0.1621,0.3293,0.2465,39.7816,84.1403,-10.511,51.5905,18.9,14.3331,0.1845,0.5665
133,Castillo del Príncipe,Cuba,23.1167,-82.4167,Americas,0.487,0.1617,0.3293,0.2465,39.7197,84.1405,-10.511,51.6505,18.8333,14.3234,0.1845,0.5665
134,Castillo de San Severino,Cuba,23.05,-81.5667,Americas,0.4864,0.1603,0.3302,0.2459,40.0655,84.1472,-10.511,51.3003,19.6833,14.3665,0.1845,0.5665
135,Fort San Cristóbal,Puerto Rico,18.4667,-66.1167,Americas,0.4756,0.0997,0.3492,0.233,46.2715,84.3258,-10.511,44.8218,35.1333,14.9903,0.1845,0.5665
136,Fort Conde de Mirasol,Puerto Rico,18.15,-65.4333,Americas,0.4751,0.0961,0.35,0.2323,46.5843,84.3351,-10.511,44.4905,35.8167,15.0179,0.1845,0.5665
137,Fortín San Juan de la Cruz,Puerto Rico,18.4667,-66.1667,Americas,0.4757,0.0997,0.3492,0.2331,46.2337,84.3254,-10.511,44.8597,35.0833,14.9852,0.1845,0.5665
138,Fort Barrancas,USA,30.35,-87.3,Americas,0.4792,0.2551,0.3156,0.2452,44.796,83.9671,-10.511,46.9934,13.95,15.3217,0.1845,0.5665
139,Fort Caroline,USA,30.3833,-81.5,Americas,0.4758,0.251,0.3211,0.2415,46.8751,84.0039,-10.511,44.9124,19.75,15.6004,0.1845,0.5665
140,Fort Delgrès,Guadeloupe (France),15.9833,-61.7167,Other,0.4721,0.0735,0.3546,0.2289,48.2016,84.3904,-10.511,42.7473,39.5333,15.1372,0.1845,0.5665
141,Fort Desaix,Martinique (France),14.6,-61.0667,Other,0.4724,0.0611,0.3568,0.2291,47.954,84.4112,-10.511,42.916,40.1833,15.0428,0.1845,0.5665
